Time-Data:(A2/86400000)+25569;T1;T2;H1;H2
1763836166959;23;23.1;61;61
1763839766959;22.9;23;61;62
1763843366959;22.9;23;61;62
1763846966959;22.9;22.9;62;62
1763850566959;22.9;23;62;62
1763854166959;23;23.1;62;62
1763857766959;23;23.2;62;62
1763861366959;23.1;23.8;62;63
1763864966959;23.8;24.4;63;63
1763868566959;24.4;24.6;63;63
1763872166959;24.4;24.6;63;63
1763875766959;24.3;24.4;63;63
1763879366959;24;24.3;63;63
1763882966959;23.6;24;62;63
1763886566959;23.3;23.7;62;62
1763890166959;23.2;23.3;62;62
1763893766959;23.3;23.7;62;62
1763897366959;23.6;24.1;62;62
1763900966959;24;24.2;62;62
1763904566959;24.1;24.3;62;62
1763908166959;24;24.2;61;62
1763911766959;23.7;24;61;62
1763915366959;23.5;23.8;61;62
1763918966959;23.5;23.6;62;62
